Gamma	Asphericity	Radius	Volume	Area	MorseEnergy	NormalityEn	CircularityEn	TotalOPSEnergy	RMSAngleDeficit
28980.5	0.00347146	2.21442	41.2435	60.6218	-210	0.110608	0.0510183	-209.838	0.426562
28582.5	0.00347125	2.21442	41.2436	60.6218	-210	0.112148	0.0517258	-209.836	0.426549
28189.9	0.00347105	2.21442	41.2438	60.6218	-210	0.11371	0.0524431	-209.834	0.426535
27802.8	0.00347084	2.21443	41.2439	60.6218	-210	0.11529	0.0531737	-209.831	0.426521
27420.9	0.00347063	2.21443	41.244	60.6218	-210	0.116895	0.053911	-209.829	0.426508
27044.3	0.00347041	2.21443	41.2442	60.6218	-210	0.118523	0.0546584	-209.827	0.426494
26672.9	0.00347019	2.21443	41.2443	60.6218	-210	0.120173	0.0554161	-209.824	0.426479
26306.6	0.00346997	2.21443	41.2444	60.6218	-210	0.121847	0.0561843	-209.822	0.426465
25945.3	0.00346975	2.21443	41.2446	60.6218	-210	0.123544	0.0569631	-209.819	0.42645
25588.9	0.00346952	2.21444	41.2447	60.6218	-210	0.125264	0.0577527	-209.817	0.426435
25237.5	0.00346929	2.21444	41.2448	60.6218	-210	0.127008	0.0585531	-209.814	0.42642
24890.9	0.00346906	2.21444	41.245	60.6218	-210	0.128777	0.0593646	-209.812	0.426405
24549	0.00346882	2.21444	41.2451	60.6218	-210	0.13057	0.0601873	-209.809	0.42639
24211.9	0.00346858	2.21444	41.2453	60.6218	-210	0.132384	0.0610255	-209.806	0.426374
23879.3	0.00346834	2.21445	41.2454	60.6218	-210	0.134228	0.061871	-209.804	0.426358
23551.4	0.00346809	2.21445	41.2456	60.6218	-210	0.136097	0.0627283	-209.801	0.426342
23227.9	0.00346784	2.21445	41.2457	60.6218	-210	0.137992	0.0635973	-209.798	0.426325
22908.9	0.00346759	2.21445	41.2459	60.6218	-210	0.139914	0.0644783	-209.795	0.426309
22594.3	0.00346733	2.21445	41.246	60.6218	-210	0.141862	0.0653715	-209.793	0.426292
22283.9	0.00346707	2.21446	41.2462	60.6218	-210	0.143838	0.0662769	-209.79	0.426275
21977.9	0.00346681	2.21446	41.2463	60.6218	-210	0.145836	0.0671993	-209.787	0.426258
21676	0.00346654	2.21446	41.2465	60.6218	-210	0.147867	0.0681299	-209.784	0.42624
21378.3	0.00346627	2.21446	41.2467	60.6218	-210	0.149926	0.0690733	-209.781	0.426222
21084.7	0.00346599	2.21446	41.2468	60.6218	-210	0.152014	0.0700298	-209.778	0.426204
20795.2	0.00346571	2.21447	41.247	60.6218	-210	0.154131	0.0709994	-209.775	0.426186
20509.5	0.00346543	2.21447	41.2472	60.6218	-210	0.156277	0.0719823	-209.772	0.426168
20227.9	0.00346514	2.21447	41.2473	60.6218	-210	0.158453	0.0729788	-209.768	0.426149
19950.1	0.00346485	2.21447	41.2475	60.6218	-210	0.160655	0.0739938	-209.765	0.42613
19676.1	0.00346456	2.21448	41.2477	60.6218	-210	0.162892	0.075018	-209.762	0.42611
19405.8	0.00346426	2.21448	41.2479	60.6218	-210	0.16516	0.0760562	-209.759	0.426091
19139.3	0.00346395	2.21448	41.2481	60.6218	-210	0.16746	0.0771087	-209.755	0.426071
18876.4	0.00346365	2.21448	41.2483	60.6218	-210	0.169792	0.0781757	-209.752	0.426051
18617.2	0.00346333	2.21449	41.2484	60.6218	-210	0.172157	0.0792574	-209.748	0.426031
18361.5	0.00346302	2.21449	41.2486	60.6218	-210	0.174549	0.0803589	-209.745	0.42601
18109.3	0.0034627	2.21449	41.2488	60.6218	-210	0.17698	0.0814705	-209.741	0.425989
17860.6	0.00346237	2.21449	41.249	60.6218	-210	0.179444	0.0825975	-209.738	0.425968
17615.3	0.00346204	2.2145	41.2492	60.6218	-210	0.181943	0.0837399	-209.734	0.425946
17373.4	0.00346171	2.2145	41.2494	60.6218	-210	0.184476	0.084898	-209.73	0.425924
17134.8	0.00346137	2.2145	41.2496	60.6218	-210	0.18704	0.0860769	-209.727	0.425902
16899.4	0.00346103	2.2145	41.2498	60.6218	-210	0.189645	0.0872671	-209.723	0.425879
16667.3	0.00346068	2.21451	41.2501	60.6218	-210	0.192286	0.0884736	-209.719	0.425857
16438.4	0.00346033	2.21451	41.2503	60.6218	-210	0.194964	0.0896967	-209.715	0.425834
16212.6	0.00345997	2.21451	41.2505	60.6218	-210	0.197678	0.0909366	-209.711	0.42581
15990	0.0034596	2.21452	41.2507	60.6218	-210	0.200426	0.092199	-209.707	0.425786
15770.4	0.00345924	2.21452	41.2509	60.6218	-210	0.203217	0.0934732	-209.703	0.425762
15553.8	0.00345886	2.21452	41.2512	60.6218	-210	0.206046	0.0947648	-209.699	0.425738
15340.2	0.00345849	2.21452	41.2514	60.6218	-210	0.208916	0.0960742	-209.695	0.425713
